year	well_cost
1971-09-24	461.785567
1971-09-25	461.785567
1971-09-26	461.785567
1971-09-27	461.785567
1971-09-28	461.785567
1971-09-29	461.785567
1971-09-30	461.785567
1971-10-01	461.785567
1971-10-02	461.785567
1971-10-03	461.785567
1971-10-04	461.785567
1971-10-05	461.785567
1971-10-06	461.785567
1971-10-07	461.785567
1971-10-08	461.785567
1971-10-09	461.785567
1971-10-10	461.785567
1971-10-11	461.785567
1971-10-12	461.785567
1971-10-13	461.785567
1971-10-14	461.785567
1971-10-15	461.785567
1971-10-16	461.785567
1971-10-17	461.785567
1971-10-18	461.785567
1971-10-19	461.785567
1971-10-20	461.785567
1971-10-21	461.785567
1971-10-22	461.785567
1971-10-23	461.785567
1971-10-24	461.785567
1971-10-25	461.785567
1971-10-26	461.785567
1971-10-27	461.785567
1971-10-28	461.785567
1971-10-29	461.785567
1971-10-30	461.785567
1971-10-31	461.785567
1971-11-01	461.785567
1971-11-02	461.785567
1971-11-03	461.785567
1971-11-04	461.785567
1971-11-05	461.785567
1971-11-06	461.785567
1971-11-07	461.785567
1971-11-08	461.785567
1971-11-09	461.785567
1971-11-10	461.785567
1971-11-11	461.785567
1971-11-12	461.785567
1971-11-13	461.785567
1971-11-14	461.785567
1971-11-15	461.785567
1971-11-16	461.785567
1971-11-17	461.785567
1971-11-18	461.785567
1971-11-19	461.785567
1971-11-20	461.785567
1971-11-21	461.785567
1971-11-22	461.785567
1971-11-23	461.785567
1971-11-24	461.785567
1971-11-25	461.785567
1971-11-26	461.785567
1971-11-27	461.785567
1971-11-28	461.785567
1971-11-29	461.785567
1971-11-30	461.785567
1971-12-01	461.785567
1971-12-02	461.785567
1971-12-03	461.785567
1971-12-04	461.785567
1971-12-05	461.785567
1971-12-06	461.785567
1971-12-07	461.785567
1971-12-08	461.785567
1971-12-09	461.785567
1971-12-10	461.785567
1971-12-11	461.785567
1971-12-12	461.785567
1971-12-13	461.785567
1971-12-14	461.785567
1971-12-15	461.785567
1971-12-16	461.785567
1971-12-17	461.785567
1971-12-18	461.785567
1971-12-19	461.785567
1971-12-20	461.785567
1971-12-21	461.785567
1971-12-22	461.785567
1971-12-23	461.785567
1971-12-24	461.785567
1971-12-25	461.785567
1971-12-26	461.785567
1971-12-27	461.785567
1971-12-28	461.785567
1971-12-29	461.785567
1971-12-30	461.785567
1971-12-31	461.785567
1972-01-01	491.4783789
1972-01-02	491.4783789
1972-01-03	491.4783789
1972-01-04	491.4783789
1972-01-05	491.4783789
1972-01-06	491.4783789
1972-01-07	491.4783789
1972-01-08	491.4783789
1972-01-09	491.4783789
1972-01-10	491.4783789
1972-01-11	491.4783789
1972-01-12	491.4783789
1972-01-13	491.4783789
1972-01-14	491.4783789
1972-01-15	491.4783789
1972-01-16	491.4783789
1972-01-17	491.4783789
1972-01-18	491.4783789
1972-01-19	491.4783789
1972-01-20	491.4783789
1972-01-21	491.4783789
1972-01-22	491.4783789
1972-01-23	491.4783789
1972-01-24	491.4783789
1972-01-25	491.4783789
1972-01-26	491.4783789
1972-01-27	491.4783789
1972-01-28	491.4783789
1972-01-29	491.4783789
1972-01-30	491.4783789
1972-01-31	491.4783789
1972-02-01	491.4783789
1972-02-02	491.4783789
1972-02-03	491.4783789
1972-02-04	491.4783789
1972-02-05	491.4783789
1972-02-06	491.4783789
1972-02-07	491.4783789
1972-02-08	491.4783789
1972-02-09	491.4783789
1972-02-10	491.4783789
1972-02-11	491.4783789
1972-02-12	491.4783789
1972-02-13	491.4783789
1972-02-14	491.4783789
1972-02-15	491.4783789
1972-02-16	491.4783789
1972-02-17	491.4783789
1972-02-18	491.4783789
1972-02-19	491.4783789
1972-02-20	491.4783789
1972-02-21	491.4783789
1972-02-22	491.4783789
1972-02-23	491.4783789
1972-02-24	491.4783789
1972-02-25	491.4783789
1972-02-26	491.4783789
1972-02-27	491.4783789
1972-02-28	491.4783789
1972-02-29	491.4783789
1972-03-01	491.4783789
1972-03-02	491.4783789
1972-03-03	491.4783789
1972-03-04	491.4783789
1972-03-05	491.4783789
1972-03-06	491.4783789
1972-03-07	491.4783789
1972-03-08	491.4783789
1972-03-09	491.4783789
1972-03-10	491.4783789
1972-03-11	491.4783789
1972-03-12	491.4783789
1972-03-13	491.4783789
1972-03-14	491.4783789
1972-03-15	491.4783789
1972-03-16	491.4783789
1972-03-17	491.4783789
1972-03-18	491.4783789
1972-03-19	491.4783789
1972-03-20	491.4783789
1972-03-21	491.4783789
1972-03-22	491.4783789
1972-03-23	491.4783789
1972-03-24	491.4783789
1972-03-25	491.4783789
1972-03-26	491.4783789
1972-03-27	491.4783789
1972-03-28	491.4783789
1972-03-29	491.4783789
1972-03-30	491.4783789
1972-03-31	491.4783789
1972-04-01	491.4783789
1972-04-02	491.4783789
1972-04-03	491.4783789
1972-04-04	491.4783789
1972-04-05	491.4783789
1972-04-06	491.4783789
1972-04-07	491.4783789
1972-04-08	491.4783789
1972-04-09	491.4783789
1972-04-10	491.4783789
1972-04-11	491.4783789
1972-04-12	491.4783789
1972-04-13	491.4783789
1972-04-14	491.4783789
1972-04-15	491.4783789
1972-04-16	491.4783789
1972-04-17	491.4783789
1972-04-18	491.4783789
1972-04-19	491.4783789
1972-04-20	491.4783789
1972-04-21	491.4783789
1972-04-22	491.4783789
1972-04-23	491.4783789
1972-04-24	491.4783789
1972-04-25	491.4783789
1972-04-26	491.4783789
1972-04-27	491.4783789
1972-04-28	491.4783789
1972-04-29	491.4783789
1972-04-30	491.4783789
1972-05-01	491.4783789
1972-05-02	491.4783789
1972-05-03	491.4783789
1972-05-04	491.4783789
1972-05-05	491.4783789
1972-05-06	491.4783789
1972-05-07	491.4783789
1972-05-08	491.4783789
1972-05-09	491.4783789
1972-05-10	491.4783789
1972-05-11	491.4783789
1972-05-12	491.4783789
1972-05-13	491.4783789
1972-05-14	491.4783789
1972-05-15	491.4783789
1972-05-16	491.4783789
1972-05-17	491.4783789
1972-05-18	491.4783789
1972-05-19	491.4783789
1972-05-20	491.4783789
1972-05-21	491.4783789
1972-05-22	491.4783789
1972-05-23	491.4783789
1972-05-24	491.4783789
1972-05-25	491.4783789
1972-05-26	491.4783789
1972-05-27	491.4783789
1972-05-28	491.4783789
1972-05-29	491.4783789
1972-05-30	491.4783789
1972-05-31	491.4783789
1972-06-01	491.4783789
1972-06-02	491.4783789
1972-06-03	491.4783789
1972-06-04	491.4783789
1972-06-05	491.4783789
1972-06-06	491.4783789
1972-06-07	491.4783789
1972-06-08	491.4783789
1972-06-09	491.4783789
1972-06-10	491.4783789
1972-06-11	491.4783789
1972-06-12	491.4783789
1972-06-13	491.4783789
1972-06-14	491.4783789
1972-06-15	491.4783789
1972-06-16	491.4783789
1972-06-17	491.4783789
1972-06-18	491.4783789
1972-06-19	491.4783789
1972-06-20	491.4783789
1972-06-21	491.4783789
1972-06-22	491.4783789
1972-06-23	491.4783789
1972-06-24	491.4783789
1972-06-25	491.4783789
1972-06-26	491.4783789
1972-06-27	491.4783789
1972-06-28	491.4783789
1972-06-29	491.4783789
1972-06-30	491.4783789
1972-07-01	491.4783789
1972-07-02	491.4783789
1972-07-03	491.4783789
1972-07-04	491.4783789
1972-07-05	491.4783789
1972-07-06	491.4783789
1972-07-07	491.4783789
1972-07-08	491.4783789
1972-07-09	491.4783789
1972-07-10	491.4783789
1972-07-11	491.4783789
1972-07-12	491.4783789
1972-07-13	491.4783789
1972-07-14	491.4783789
1972-07-15	491.4783789
1972-07-16	491.4783789
1972-07-17	491.4783789
1972-07-18	491.4783789
1972-07-19	491.4783789
1972-07-20	491.4783789
1972-07-21	491.4783789
1972-07-22	491.4783789
1972-07-23	491.4783789
1972-07-24	491.4783789
1972-07-25	491.4783789
1972-07-26	491.4783789
1972-07-27	491.4783789
1972-07-28	491.4783789
1972-07-29	491.4783789
1972-07-30	491.4783789
1972-07-31	491.4783789
1972-08-01	491.4783789
1972-08-02	491.4783789
1972-08-03	491.4783789
1972-08-04	491.4783789
1972-08-05	491.4783789
1972-08-06	491.4783789
1972-08-07	491.4783789
1972-08-08	491.4783789
1972-08-09	491.4783789
1972-08-10	491.4783789
1972-08-11	491.4783789
1972-08-12	491.4783789
1972-08-13	491.4783789
1972-08-14	491.4783789
1972-08-15	491.4783789
1972-08-16	491.4783789
1972-08-17	491.4783789
1972-08-18	491.4783789
1972-08-19	491.4783789
1972-08-20	491.4783789
1972-08-21	491.4783789
1972-08-22	491.4783789
1972-08-23	491.4783789
1972-08-24	491.4783789
1972-08-25	491.4783789
1972-08-26	491.4783789
1972-08-27	491.4783789
1972-08-28	491.4783789
1972-08-29	491.4783789
1972-08-30	491.4783789
1972-08-31	491.4783789
1972-09-01	491.4783789
1972-09-02	491.4783789
1972-09-03	491.4783789
1972-09-04	491.4783789
1972-09-05	491.4783789
1972-09-06	491.4783789
1972-09-07	491.4783789
1972-09-08	491.4783789
1972-09-09	491.4783789
1972-09-10	491.4783789
1972-09-11	491.4783789
1972-09-12	491.4783789
1972-09-13	491.4783789
1972-09-14	491.4783789
1972-09-15	491.4783789
1972-09-16	491.4783789
1972-09-17	491.4783789
1972-09-18	491.4783789
1972-09-19	491.4783789
1972-09-20	491.4783789
1972-09-21	491.4783789
1972-09-22	491.4783789
1972-09-23	491.4783789
1972-09-24	491.4783789
1972-09-25	491.4783789
1972-09-26	491.4783789
1972-09-27	491.4783789
1972-09-28	491.4783789
1972-09-29	491.4783789
1972-09-30	491.4783789
1972-10-01	491.4783789
1972-10-02	491.4783789
1972-10-03	491.4783789
1972-10-04	491.4783789
1972-10-05	491.4783789
1972-10-06	491.4783789
1972-10-07	491.4783789
1972-10-08	491.4783789
1972-10-09	491.4783789
1972-10-10	491.4783789
1972-10-11	491.4783789
1972-10-12	491.4783789
1972-10-13	491.4783789
1972-10-14	491.4783789
1972-10-15	491.4783789
1972-10-16	491.4783789
1972-10-17	491.4783789
1972-10-18	491.4783789
1972-10-19	491.4783789
1972-10-20	491.4783789
1972-10-21	491.4783789
1972-10-22	491.4783789
1972-10-23	491.4783789
1972-10-24	491.4783789
1972-10-25	491.4783789
1972-10-26	491.4783789
1972-10-27	491.4783789
1972-10-28	491.4783789
1972-10-29	491.4783789
1972-10-30	491.4783789
1972-10-31	491.4783789
1972-11-01	491.4783789
1972-11-02	491.4783789
1972-11-03	491.4783789
1972-11-04	491.4783789
1972-11-05	491.4783789
1972-11-06	491.4783789
1972-11-07	491.4783789
1972-11-08	491.4783789
1972-11-09	491.4783789
1972-11-10	491.4783789
1972-11-11	491.4783789
1972-11-12	491.4783789
1972-11-13	491.4783789
1972-11-14	491.4783789
1972-11-15	491.4783789
1972-11-16	491.4783789
1972-11-17	491.4783789
1972-11-18	491.4783789
1972-11-19	491.4783789
1972-11-20	491.4783789
1972-11-21	491.4783789
1972-11-22	491.4783789
1972-11-23	491.4783789
1972-11-24	491.4783789
1972-11-25	491.4783789
1972-11-26	491.4783789
1972-11-27	491.4783789
1972-11-28	491.4783789
1972-11-29	491.4783789
1972-11-30	491.4783789
1972-12-01	491.4783789
1972-12-02	491.4783789
1972-12-03	491.4783789
1972-12-04	491.4783789
1972-12-05	491.4783789
1972-12-06	491.4783789
1972-12-07	491.4783789
1972-12-08	491.4783789
1972-12-09	491.4783789
1972-12-10	491.4783789
1972-12-11	491.4783789
1972-12-12	491.4783789
1972-12-13	491.4783789
1972-12-14	491.4783789
1972-12-15	491.4783789
1972-12-16	491.4783789
1972-12-17	491.4783789
1972-12-18	491.4783789
1972-12-19	491.4783789
1972-12-20	491.4783789
1972-12-21	491.4783789
1972-12-22	491.4783789
1972-12-23	491.4783789
1972-12-24	491.4783789
1972-12-25	491.4783789
1972-12-26	491.4783789
1972-12-27	491.4783789
1972-12-28	491.4783789
1972-12-29	491.4783789
1972-12-30	491.4783789
1972-12-31	491.4783789
1973-01-01	573.9975987
1973-01-02	573.9975987
1973-01-03	573.9975987
1973-01-04	573.9975987
1973-01-05	573.9975987
1973-01-06	573.9975987
1973-01-07	573.9975987
1973-01-08	573.9975987
1973-01-09	573.9975987
1973-01-10	573.9975987
1973-01-11	573.9975987
1973-01-12	573.9975987
1973-01-13	573.9975987
1973-01-14	573.9975987
1973-01-15	573.9975987
1973-01-16	573.9975987
1973-01-17	573.9975987
1973-01-18	573.9975987
1973-01-19	573.9975987
1973-01-20	573.9975987
1973-01-21	573.9975987
1973-01-22	573.9975987
1973-01-23	573.9975987
1973-01-24	573.9975987
1973-01-25	573.9975987
1973-01-26	573.9975987
1973-01-27	573.9975987
1973-01-28	573.9975987
1973-01-29	573.9975987
1973-01-30	573.9975987
1973-01-31	573.9975987
1973-02-01	573.9975987
1973-02-02	573.9975987
1973-02-03	573.9975987
1973-02-04	573.9975987
1973-02-05	573.9975987
1973-02-06	573.9975987
1973-02-07	573.9975987
1973-02-08	573.9975987
1973-02-09	573.9975987
1973-02-10	573.9975987
1973-02-11	573.9975987
1973-02-12	573.9975987
1973-02-13	573.9975987
1973-02-14	573.9975987
1973-02-15	573.9975987
1973-02-16	573.9975987
1973-02-17	573.9975987
1973-02-18	573.9975987
1973-02-19	573.9975987
1973-02-20	573.9975987
1973-02-21	573.9975987
1973-02-22	573.9975987
1973-02-23	573.9975987
1973-02-24	573.9975987
1973-02-25	573.9975987
1973-02-26	573.9975987
1973-02-27	573.9975987
1973-02-28	573.9975987
1973-03-01	573.9975987
1973-03-02	573.9975987
1973-03-03	573.9975987
1973-03-04	573.9975987
1973-03-05	573.9975987
1973-03-06	573.9975987
1973-03-07	573.9975987
1973-03-08	573.9975987
1973-03-09	573.9975987
1973-03-10	573.9975987
1973-03-11	573.9975987
1973-03-12	573.9975987
1973-03-13	573.9975987
1973-03-14	573.9975987
1973-03-15	573.9975987
1973-03-16	573.9975987
1973-03-17	573.9975987
1973-03-18	573.9975987
1973-03-19	573.9975987
1973-03-20	573.9975987
1973-03-21	573.9975987
1973-03-22	573.9975987
1973-03-23	573.9975987
1973-03-24	573.9975987
1973-03-25	573.9975987
1973-03-26	573.9975987
1973-03-27	573.9975987
1973-03-28	573.9975987
1973-03-29	573.9975987
1973-03-30	573.9975987
1973-03-31	573.9975987
1973-04-01	573.9975987
1973-04-02	573.9975987
1973-04-03	573.9975987
1973-04-04	573.9975987
1973-04-05	573.9975987
1973-04-06	573.9975987
1973-04-07	573.9975987
1973-04-08	573.9975987
1973-04-09	573.9975987
1973-04-10	573.9975987
1973-04-11	573.9975987
1973-04-12	573.9975987
1973-04-13	573.9975987
1973-04-14	573.9975987
1973-04-15	573.9975987
1973-04-16	573.9975987
1973-04-17	573.9975987
1973-04-18	573.9975987
1973-04-19	573.9975987
1973-04-20	573.9975987
1973-04-21	573.9975987
1973-04-22	573.9975987
1973-04-23	573.9975987
1973-04-24	573.9975987
1973-04-25	573.9975987
1973-04-26	573.9975987
1973-04-27	573.9975987
1973-04-28	573.9975987
1973-04-29	573.9975987
1973-04-30	573.9975987
1973-05-01	573.9975987
1973-05-02	573.9975987
1973-05-03	573.9975987
1973-05-04	573.9975987
1973-05-05	573.9975987
1973-05-06	573.9975987
1973-05-07	573.9975987
1973-05-08	573.9975987
1973-05-09	573.9975987
1973-05-10	573.9975987
1973-05-11	573.9975987
1973-05-12	573.9975987
1973-05-13	573.9975987
1973-05-14	573.9975987
1973-05-15	573.9975987
1973-05-16	573.9975987
1973-05-17	573.9975987
1973-05-18	573.9975987
1973-05-19	573.9975987
1973-05-20	573.9975987
1973-05-21	573.9975987
1973-05-22	573.9975987
1973-05-23	573.9975987
1973-05-24	573.9975987
1973-05-25	573.9975987
1973-05-26	573.9975987
1973-05-27	573.9975987
1973-05-28	573.9975987
1973-05-29	573.9975987
1973-05-30	573.9975987
1973-05-31	573.9975987
1973-06-01	573.9975987
1973-06-02	573.9975987
1973-06-03	573.9975987
1973-06-04	573.9975987
1973-06-05	573.9975987
1973-06-06	573.9975987
1973-06-07	573.9975987
1973-06-08	573.9975987
1973-06-09	573.9975987
1973-06-10	573.9975987
1973-06-11	573.9975987
1973-06-12	573.9975987
1973-06-13	573.9975987
1973-06-14	573.9975987
1973-06-15	573.9975987
1973-06-16	573.9975987
1973-06-17	573.9975987
1973-06-18	573.9975987
1973-06-19	573.9975987
1973-06-20	573.9975987
1973-06-21	573.9975987
1973-06-22	573.9975987
1973-06-23	573.9975987
1973-06-24	573.9975987
1973-06-25	573.9975987
1973-06-26	573.9975987
1973-06-27	573.9975987
1973-06-28	573.9975987
1973-06-29	573.9975987
1973-06-30	573.9975987
1973-07-01	573.9975987
1973-07-02	573.9975987
1973-07-03	573.9975987
1973-07-04	573.9975987
1973-07-05	573.9975987
1973-07-06	573.9975987
1973-07-07	573.9975987
1973-07-08	573.9975987
1973-07-09	573.9975987
1973-07-10	573.9975987
1973-07-11	573.9975987
1973-07-12	573.9975987
1973-07-13	573.9975987
1973-07-14	573.9975987
1973-07-15	573.9975987
1973-07-16	573.9975987
1973-07-17	573.9975987
1973-07-18	573.9975987
1973-07-19	573.9975987
1973-07-20	573.9975987
1973-07-21	573.9975987
1973-07-22	573.9975987
1973-07-23	573.9975987
1973-07-24	573.9975987
1973-07-25	573.9975987
1973-07-26	573.9975987
1973-07-27	573.9975987
1973-07-28	573.9975987
1973-07-29	573.9975987
1973-07-30	573.9975987
1973-07-31	573.9975987
1973-08-01	573.9975987
1973-08-02	573.9975987
1973-08-03	573.9975987
1973-08-04	573.9975987
1973-08-05	573.9975987
1973-08-06	573.9975987
1973-08-07	573.9975987
1973-08-08	573.9975987
1973-08-09	573.9975987
1973-08-10	573.9975987
1973-08-11	573.9975987
1973-08-12	573.9975987
1973-08-13	573.9975987
1973-08-14	573.9975987
1973-08-15	573.9975987
1973-08-16	573.9975987
1973-08-17	573.9975987
1973-08-18	573.9975987
1973-08-19	573.9975987
1973-08-20	573.9975987
1973-08-21	573.9975987
1973-08-22	573.9975987
1973-08-23	573.9975987
1973-08-24	573.9975987
1973-08-25	573.9975987
1973-08-26	573.9975987
1973-08-27	573.9975987
1973-08-28	573.9975987
1973-08-29	573.9975987
1973-08-30	573.9975987
1973-08-31	573.9975987
1973-09-01	573.9975987
1973-09-02	573.9975987
1973-09-03	573.9975987
1973-09-04	573.9975987
1973-09-05	573.9975987
1973-09-06	573.9975987
1973-09-07	573.9975987
1973-09-08	573.9975987
1973-09-09	573.9975987
1973-09-10	573.9975987
1973-09-11	573.9975987
1973-09-12	573.9975987
