"tmax" "tmin" "tmean" "td" "precip" "ETo.Kc" "precip.month.byday" "Eff.R" "IRR" "ETo_mm"
"1971-01-01" 24.9755149 6.904440273 16.0981075 18.07107463 0 3.34486632925526 0.137159640258065 0 3.34486632925526 2.98648779397791
"1971-01-02" 23.9523635 5.182294715 14.72310655 18.77006879 0 3.27808636552107 0.137159640258065 0 3.27808636552107 2.9268628263581
"1971-01-03" 24.3004756 5.785710205 15.20310704 18.5147654 0 3.31182604223063 0.137159640258065 0 3.31182604223063 2.95698753770592
"1971-01-04" 23.89791823 7.185109962 15.70310609 16.71280827 0 3.20253977135386 0.137159640258065 0 3.20253977135386 2.85941051013737
"1971-01-05" 24.94464064 9.146406044 17.20310704 15.7982346 0 3.26211086305316 0.137159640258065 0 3.26211086305316 2.91259898486889
"1971-01-06" 25.83682585 8.564798702 17.36310689 17.27202715 0 3.43653384709555 0.137159640258065 0 3.43653384709555 3.0683337920496
"1971-01-07" 25.57318831 6.631964553 16.2581064 18.94122376 0 3.4964692711762 0.137159640258065 0 3.4964692711762 3.12184756355018
"1971-01-08" 25.82775641 7.351389278 16.74810617 18.47636714 0 3.514386546372 0.137159640258065 0 3.514386546372 3.13784513068929
"1971-01-09" 26.21159697 7.427024711 16.97810666 18.78457226 0 3.57933515950475 0.137159640258065 0 3.57933515950475 3.19583496384353
"1971-01-10" 26.83469535 8.477762092 17.81310575 18.35693326 0 3.63621953680744 0.137159640258065 0 3.63621953680744 3.24662458643522
"1971-01-11" 27.13448477 8.732009281 18.08810727 18.40247549 0 3.68245509067522 0.137159640258065 0 3.68245509067522 3.28790633096002
"1971-01-12" 26.58719016 7.95572554 17.43310659 18.63146462 0 3.6516953013291 0.137159640258065 0 3.6516953013291 3.26044223332955
"1971-01-13" 26.53559638 9.105005134 17.98310773 17.43059125 0 3.60152741539713 0.137159640258065 0 3.60152741539713 3.21564947803315
"1971-01-14" 27.07928611 9.003768791 18.19810598 18.07551732 0 3.70484271081916 0.137159640258065 0 3.70484271081916 3.30789527751711
"1971-01-15" 26.75376464 7.84869038 17.4581062 18.90507426 0 3.7268602437639 0.137159640258065 0 3.7268602437639 3.32755378907491
"1971-01-16" 25.87679244 11.9846047 19.08810727 13.89218774 0 3.3571689062358 0.137159640258065 0 3.3571689062358 2.99747223771053
"1971-01-17" 26.13022185 8.612873424 17.5281059 17.51734843 0 4.0477092480726 0.137159640258065 0 4.0477092480726 3.23816739845808
"1971-01-18" 25.78449202 7.626131881 16.86310689 18.15836014 0 4.06232686888927 0.137159640258065 0 4.06232686888927 3.24986149511141
"1971-01-19" 25.99061347 6.530700553 16.41810624 19.45991292 0 4.17120042022839 0.137159640258065 0 4.17120042022839 3.33696033618271
"1971-01-20" 25.53589965 7.181332935 16.51810662 18.35456672 0 4.08267797212441 0.137159640258065 0 4.08267797212441 3.26614237769953
"1971-01-21" 24.38611365 9.094008316 16.89810674 15.29210534 0 3.78662237625055 0.137159640258065 0 3.78662237625055 3.02929790100044
"1971-01-22" 21.31069518 12.08801542 16.85810678 9.22267976 1.939748284 2.95226108230347 0.137159640258065 0 2.95226108230347 2.36180886584278
"1971-01-23" 23.51986838 9.57476889 16.7081062 13.94509949 0 3.63334141433327 0.137159640258065 0 3.63334141433327 2.90667313146662
"1971-01-24" 23.06332923 7.861954559 15.61810701 15.20137467 0 3.69311443626433 0.137159640258065 0 3.69311443626433 2.95449154901146
"1971-01-25" 23.57428504 8.211517681 16.04810636 15.36276736 0 3.78071783785522 0.137159640258065 0 3.78071783785522 3.02457427028417
"1971-01-26" 18.07615424 11.09659277 14.74810617 6.97956147 2.312200564 2.46387823956113 0.137159640258065 0 2.46387823956113 1.9711025916489
"1971-01-27" 20.56379843 13.20132528 17.03810708 7.36247315 0 2.72368518632139 0.137159640258065 0 2.72368518632139 2.17894814905711
"1971-01-28" 22.73622275 9.372137893 16.21310632 13.36408486 0 3.60290123435426 0.137159640258065 0 3.60290123435426 2.88232098748341
"1971-01-29" 22.35311843 6.852882255 14.7581064 15.50023618 0 3.73545700408267 0.137159640258065 0 3.73545700408267 2.98836560326614
"1971-01-30" 21.4877677 6.083431114 13.94310586 15.40433659 0 3.65171229042222 0.137159640258065 0 3.65171229042222 2.92136983233778
"1971-01-31" 22.16259719 6.172095169 14.32310598 15.99050202 0 3.78716081638291 0.137159640258065 0 3.78716081638291 3.02972865310633
"1971-02-01" 22.74548376 6.468275056 14.64785357 16.27720871 0 3.88247024092336 0.197931838785714 0 3.88247024092336 3.10597619273869
"1971-02-02" 23.53016126 6.113745198 14.86785384 17.41641606 0 4.06747493869147 0.197931838785714 0 4.06747493869147 3.25397995095318
"1971-02-03" 24.25160825 6.310887322 15.32785388 17.94072093 0 4.21167315945589 0.197931838785714 0 4.21167315945589 3.36933852756471
"1971-02-04" 25.43957174 9.737930283 17.63285323 15.70164146 0 4.23992934393284 0.197931838785714 0 4.23992934393284 3.39194347514627
"1971-02-05" 27.2822727 8.667888627 18.01785346 18.61438408 0 4.69529232509805 0.197931838785714 0 4.69529232509805 3.75623386007844
"1971-02-06" 24.77633512 7.540389523 16.20285388 17.2359456 0 4.31567665263536 0.197931838785714 0 4.31567665263536 3.45254132210829
"1971-02-07" 25.16192663 7.717917905 16.48285361 17.44400873 0 4.40463568741902 0.197931838785714 0 4.40463568741902 3.52370854993522
"1971-02-08" 25.88042867 8.168965802 17.0678527 17.71146287 0 4.54225122482193 0.197931838785714 0 4.54225122482193 3.63380097985755
"1971-02-09" 26.92812383 8.51353024 17.7628543 18.41459359 0 4.75355453160197 0.197931838785714 0 4.75355453160197 3.80284362528157
"1971-02-10" 27.4992851 10.06414317 18.82785292 17.43514194 0 4.79400624227956 0.197931838785714 0 4.79400624227956 3.83520499382365
"1971-02-11" 28.1569618 11.66870975 19.95285292 16.48825206 0 4.83565055920311 0.197931838785714 0 4.83565055920311 3.86852044736249
"1971-02-12" 28.8487972 11.78219794 20.36285468 17.06659927 0 5.00476632363437 0.197931838785714 0 5.00476632363437 4.00381305890749
"1971-02-13" 26.29721868 7.900636659 17.14285346 18.39658202 0 4.78800502744904 0.197931838785714 0 4.78800502744904 3.83040402195924
"1971-02-14" 25.55617941 7.611408219 16.62785312 17.94477119 0 4.68888680171282 0.197931838785714 0 4.68888680171282 3.75110944137025
"1971-02-15" 25.90546453 8.186964974 17.08785315 17.71849956 0 4.75165781688852 0.197931838785714 0 4.75165781688852 3.80132625351081
"1971-02-16" 27.62565649 9.615701661 18.66285392 18.00995483 0 5.03886688100805 0.197931838785714 0 5.03886688100805 4.03109350480644
"1971-02-17" 29.16157758 10.62675761 19.93785353 18.53481998 0 1.95935875322129 0.197931838785714 0 1.95935875322129 4.25947555048107
"1971-02-18" 29.51424253 11.81467914 20.70785399 17.6995634 0 1.9662598813078 0.197931838785714 0 1.9662598813078 4.27447800284303
"1971-02-19" 30.79200781 12.71776198 21.79785415 18.07424584 0 2.05625641178466 0.197931838785714 0 2.05625641178466 4.47012263431448
"1971-02-20" 31.72469175 16.93444633 24.372853 14.79024543 1.171273859 1.99368915005251 0.197931838785714 0 1.99368915005251 4.33410684794023
"1971-02-21" 27.95030821 14.24411201 21.14285537 13.70619621 0.475829977 1.78352399409396 0.197931838785714 0 1.78352399409396 3.87722607411731
"1971-02-22" 29.78301275 14.87975883 22.37785407 14.90325393 0 1.93094200293949 0.197931838785714 0 1.93094200293949 4.19770000639019
"1971-02-23" 31.19012869 15.08926295 23.18285437 16.10086575 0 2.06020307949676 0.197931838785714 0 2.06020307949676 4.47870234673209
"1971-02-24" 30.27658117 11.29195689 20.82785292 18.98462429 0 2.12186041466581 0.197931838785714 0 2.12186041466581 4.6127400318822
"1971-02-25" 28.73964155 10.67606162 19.75285407 18.06357994 0 2.02479769303571 0.197931838785714 0 2.02479769303571 4.40173411529502
"1971-02-26" 29.22972334 10.39661406 19.85785361 18.83310928 0 2.08623486703126 0.197931838785714 0 2.08623486703126 4.5352931891984
"1971-02-27" 28.41552961 14.58642673 21.54285308 13.82910289 0.565113681 1.87934482262811 0.197931838785714 0 1.87934482262811 4.08553222310458
"1971-02-28" 26.94702947 13.63631438 20.33285399 13.3107151 3.329873969 1.79815294854246 0.197931838785714 0 1.79815294854246 3.90902814900535
"1971-03-01" 24.88969979 10.59561734 17.94596961 14.29408244 0.152864932 1.75751797703723 0.215259109193548 0 1.75751797703723 3.82069125442875
"1971-03-02" 25.28539833 11.06067281 18.37096885 14.22472552 0 1.78495976469713 0.215259109193548 0 1.78495976469713 3.88034731455898
"1971-03-03" 27.34860214 11.61291127 19.67596915 15.73569087 0 1.95693657132144 0.215259109193548 0 1.95693657132144 4.2542099376553
"1971-03-04" 29.34711441 14.88392358 22.31096938 14.46319083 0 2.02019207745473 0.215259109193548 0 2.02019207745473 4.39172190751028
"1971-03-05" 27.67148194 14.20357518 21.13596824 13.46790676 6.520167453 1.90368836533038 0.215259109193548 0 1.90368836533038 4.13845296810953
"1971-03-06" 24.26707062 10.96691518 17.81596854 13.30015544 0 1.74078568619193 0.215259109193548 0 1.74078568619193 3.7843167091129
"1971-03-07" 26.64604172 10.30876546 18.67596915 16.33727625 0 1.98758323250629 0.215259109193548 0 1.98758323250629 4.32083311414411
